Category,Name,Editable information,Qa Notes,En curso ,
Hero Sections,Hero with Image & Reviews,"Title, description, 2 buttons, and 2 reviews, and right image","En titlulo Mindhyv debe ir en azul - Primer boton no se ve y agregar, color y hover a los mismos ",No completado,
Hero Sections,Hero Text on Image,Title and Image ,"Texto posicion mal, debe ir en la esquina inferior izquierda.",No completado,
Hero Sections,Hero Dark with Clients,"Title, description, logos","Titulo debe decir MindHyv Agency, Fondo debe ser blanco con texto negro y su respectivo amarillo. agregar logos inferiores en placeholder, ajustar lineas del fondo como el template, ajustar tambien el texto de: Trusted by Open Source, enterprise, and more than 99,000 of you que queden los espacios como el template ",No completado,
Hero Sections,Hero Centered with Polygon Background,"Title, description, 2 buttons, links ","Agregar el color a la palabra: Together del titulo, Primer boton no se ve y agregar, color y hover a los mismos, agregar color a: Installation Guide",No completado,
Hero Sections,Hero with Email Input,"Title, description, 2 buttons, logos ","Color negro al: Introducing a new way for your brand to reach the creative community. Boton no se ve, agregar logos placeholder",No completado,
Hero Sections,Hero Rounded Image Carousel,"Title, button and imagen",Este hay que moverlo a esta categoria porque esta dentro de la categoria de Hero forms y no va ahi. Y el fondo del boton no se ve,No completado,
Hero Sections,Hero Centered with Dark Gradient,"Title, description, buttons",Boton no se ve hay que agregar color ,No completado,
Hero Sections,Hero with Squared Background,"Title, description, buttons","Agregar color al segundo: Explore. El Mindhyv Experience que quede en segunda linea. Boton no se ve y agregarle el color, Ajustar mejor el background",No completado,
Hero Sections,Hero with Decorative Gradient Background,"Title, description, buttons","Agregar color a: Mindhyv: A vision for 2025. Primer boton no se ve hay que agregarle el color y al segundo boton agregar el icono de figma, que se note mas la gradiante tambien, hay que ajustar la descripcion sin quitar el mindyhyv ",No completado,
Hero Sections,Hero with Video Play Button,"Title, description, buttons and image",Agregar color a la palabra: simple y en segunda linea. Build your business here. Take it anywhere eso va de color negro. Boton es blanco y flecha tambien sin relleno ,No completado,
Hero Forms,Hero with Signup Form,"Title, description, testimonials, Sign in  and logos ","En formulario agregar color al: Sign in here. falta el Company name, New password, Current password, 
I accept the Terms and Conditions y el boton es: Get started. Falta esta descripcion: 50,000
individuals and companies trust Mindhyv. Logos en placeholder",No completado,
Hero Forms,Hero Split with Signup Form,,Color al titulo en: team,No completado,
Hero Forms,Hero Centered with Inline Form,"Title, description, button, reviews","Con color y segunda linea: lifetime customers, circulitos con fotos no salen, boton no se ve, flechas del background acomodarlas como el template y agregarles el color ",No completado,
Hero Forms,Hero Search with Category Tags,"Title, description","Al colocho y rayitas y al boton de la lupa agregarle color, agregar botones con su respectivo icono de: Business / Strategy / Health  / Creative  / Environment / Adventure",No completado,
Feature Sections,General / Navs / stats / ,,No es igual a la referencia ,No completado,
Pricing Tables,Pricing Cards with Toggle,"Title, description, button, reviews","Most popular debe ir centrado y a esta carta le falta el boton  , el texto del ultimo boton es sign up, Tambien falta toda la seccion de: Compare plans",No completado,
Pricing Tables,Pricing with Bordered Gradient,"Title, description, button, reviews",A este le faltan las divisiones o lineas del background y el boton del final con su respectiva info: View pricing comparision,No completado,
Pricing Tables,Pricing with 2 Cards,-,Este no es igual a la referencia ,No completado,
Pricing Tables,Pricing with Header Style,-,Este no es igual a la referencia ,No completado,
FAQ Sections,FAQ with Icons,-,"No esta como la referencia, falta puntos en titulo y textos hacia abajo.",No completado,
FAQ Sections,FAQ Two Column,-,A este tambien le falta textos ,No completado,
FAQ Sections,FAQ Centered Cards,-,Tambien le falta texto,No completado,
FAQ Sections,FAQ Minimal,-,Este no esta en la referencia ,No completado,
FAQ Sections,Right Aligned with Border Bottom,-,este esta en la referencia pero no en el de nosotros ,No completado,
Testimonials,-,-,Revisar todos estos porque no estan igual a la referencia ,No completado,
Team Sections,-,-,Revisar todos estos porque no estan igual a la referencia ,No completado,
Footer Sections,-,-,Revisar todos estos porque no estan igual a la referencia ,No completado,
Icon Sections,Icon Blocks with Blue Background,"Title, description, buttons",Iconos no son iguales ,No completado,
Icon Sections,-,-,"Los demas de esta seccion no aparece, esta en blanco",No completado,
Card Sections,-,-,Toda esta categoria esta vacia tambien ,No completado,
Client Showcases,-,-,revisar toda la seccion porque no hay muchos de la referencia ,No completado,
Client Showcases,Clients Simple Logos,Text and logos,Le faltan logos en placeholder,No completado,
Client Showcases,Clients Grid Layout,-,Este no esta en la referencia ,No completado,
Client Showcases,Clients Grayscale,-,Este no esta en la referencia ,No completado,
Client Showcases,Clients Dark Background,-,"ok en este preguntale a Gio ya que el me dijo que los fondos debian ser blancos pero el titulo es dark como tal, ademas el texto es a la izquierda y le faltan los logos.",No completado,
Client Showcases,Clients Carousel Grid,-,este no esta en la referencia ,No completado,
Blog Sections,-,-,Seccion vacia tambien. Contiene las cajas pero en blanco ,No completado,
Announcement Banners,-,-,En esta seccion tambien copiar estilo y orden porque no esta igual ,No completado,
Forms,Login Form Simple,Text and buttons ,"El texto que puso de ultimo va debajo del titulo mas bien, falta la opcion de: Sign in with Google, el Forgot password? va al lado derecho de Password, dar espacio entre textos y cajas porque todo esta muy pegado",No completado,
Forms,Signup Form Simple,Text and buttons ,"este: Already have an account? Sign in ubicarlo debajo de titulo, agregar el Sign in with Google y tambien lo mismo de espacios.",No completado,
Forms,Reset Password Form,Text and buttons ,en este solo revisar el espacio entre el email address y la caja y el de back to login ,No completado,
Forms Feedback,-,Text and buttons ,Estos no son iguales a la referencia pero si son los que se quedan (consultar con gio) nada mas ajuste los espacios entre textos y cajas.,No completado,Dejar aqui si Gio dijo que los deja asi o los ajustan
Subscribe Form,-,-,"De esta seccion no estan igual a la referencia, faltan.",No completado,
Subscribe Form,Subscribe Form Inline,text,Este esta bien ,No completado,
Subscribe Form,Subscribe Form Card,-,Este no estan en referencia,No completado,
Subscribe Form,Subscribe Form Centered,-,este no esta en la referencia ,No completado,
Textarea Form,-,-,Estos tampoco son iguales a la referencia pero si son los que se quedan (consultar con gio) nada mas ajustar los espacios.,No completado,Dejar aqui si Gio dijo que los deja asi o los ajustan
Contact Pages,-,-,Toda esta seccion esta distinta tambien a la referencia ,No completado,
Galleries,-,-,Esta seccion no esta completada tampoco ,No completado,
Blog Articles,-,-,Esta seccion no esta completada tampoco ,No completado,
Statistics,-,-,no es igual a la referencia ,No completado,
User Profiles,-,-,Tampoco son iguales a la referencia ,No completado,
Timeline,-,-,No es igual a la referencia ,No completado,
Masonry,-,-,No es igual a la referencia ,No completado,
Description Lists,-,-,No es igual a la referencia ,No completado,
Navbars,-,-,No es igual a la referencia ,No completado,
Mega Menus,-,-,No es igual a la referencia ,No completado,
Tables,-,-,No es igual a la referencia ,No completado,
UI Controls,Dropdowns,-,No es igual a la referencia ,No completado,
UI Controls,Select,-,No es igual a la referencia ,No completado,
UI Controls,Button Group,-,No es igual a la referencia ,No completado,
Invoices,-,-,No es igual a la referencia ,No completado,
Application UI,-,-,No es igual a la referencia ,No completado,
Admin,-,-,Le falta todo el diseño de la referencia,No completado,
Charts,-,-,No es igual a la referencia ,No completado,
AI Prompts,-,-,No es igual a la referencia ,No completado,
Form Layouts,-,"Title, description, buttons","No es lo que se visualiza en la referencia, consultar con Gio tambien si estas quedan asi o se copia estilo ",No completado,Dejar aqui si Gio dijo que los deja asi o los ajustan
App Stats,-,,No es igual a la referencia ,No completado,
App Navbars,,,No es igual a la referencia ,No completado,
Overlays,Modals ,,No es igual a la referencia ,No completado,
Overlays,Cookie Banner,,Estos son los que faltan,No completado,
Pages:, pricing,,Estos son los que faltan,No completado,
E-Commerce: ,Product listings,,Estos son los que faltan,No completado,
Layouts: ,Basic ,,Estos son los que faltan,No completado,
Layouts: , Micellaneous,,Estos son los que faltan,No completado,